Sample,Samples,Treatment,Day
1,205R1,AB,9
2,205R2,AB,9
3,205R3,AB,9
4,210R1,AF,9
5,210R2,AF,9
6,210R3,AF,9
7,215R1,AB+AF,9
8,215R2,AB+AF,9
9,215R3,AB+AF,9
10,225R1,PC,9
11,225R2,PC,9
12,225R3,PC,9
13,230R1,NC,9
14,230R2,NC,9
15,230R3,NC,9
16,P205,AB,9
17,P210,AF,9
18,P215,AB+AF,9
19,P225,PC,9
20,P230,NC,9
21,P305,AB,15
22,P310,AF,15
23,P315,AB+AF,15
24,P325,PC,15
25,P330,NC,15
26,P405,AB,21
27,P410,AF,21
28,P415,AB+AF,21
29,P425,PC,21
30,P430,NC,21
31,P505,AB,27
32,P510,AF,27
33,P515,AB+AF,27
34,P525,PC,27
35,P530,NC,27
36,P605,AB,33
37,P610,AF,33
38,P615,AB+AF,33
39,P625,PC,33
40,P630,NC,33
41,P705,AB,42
42,P710,AF,42
43,P715,AB+AF,42
44,P725,PC,42
45,P730,NC,42
46,P805,AB,51
47,P810,AF,51
48,P815,AB+AF,51
49,P825,PC,51
50,P830,NC,51
