Sample,total_Reads,mapped_Reads,unmapped_Reads
1,151958362,24097253,127861109
2,147874154,26477221,121396933
3,117139176,20122307,97016869
4,122425394,38546040,83879354
5,138451312,37730332,100720980
6,123939148,38859458,85079690
7,107562818,30423221,77139597
8,160734926,50707192,110027734
9,174981752,59503631,115478121
10,153942608,50541912,103400696
11,125301442,42187286,83114156
12,116915946,41094277,75821669
13,135486054,4776188,130709866
14,155590084,5019680,150570404
15,127811062,4445452,123365610
16,181409602,30958932,150450670
17,165596278,49433255,116163023
18,139179422,42011320,97168102
19,121683402,39438441,82244961
20,151992398,5129193,146863205
21,141088190,42567749,98520441
22,118300284,33960067,84340217
23,143097636,41183308,101914328
24,159980932,56192209,103788723
25,145762860,4931774,140831086
26,138600576,44429634,94170942
27,137123944,44837437,92286507
28,113006978,33919445,79087533
29,129889996,43132927,86757069
30,92489828,3016143,89473685
31,115214684,40480685,74733999
32,172864324,65597489,107266835
34,144280218,51357816,92922402
35,118290350,4111958,114178392
36,117465216,44483943,72981273
37,142732848,47288913,95443935
38,133573796,41035046,92538750
39,131777524,49897398,81880126
40,140153512,4870589,135282923
41,203812308,70216396,133595912
42,148161242,44832421,103328821
43,132972410,38710419,94261991
44,142565602,46162692,96402910
45,167994300,5756609,162237691
46,156238376,48458212,107780164
47,155021852,46802992,108218860
48,195228004,52606714,142621290
49,249169552,86763492,162406060
50,153674908,4983506,148691402
