"","Cazy_Function","12-FULL-67-14b","20CM-2-65-7","20CM-4-69-9 Family","40CM-4-68-19 Family","Achromobacter","Arthrobacter_F","AV55","Bosea","Brevundimonas","Burkholderiaceae Family","Candidimonas","Chitinophagaceae Family","Chthoniobacteraceae Family","Crocinitomicaceae Family","Cryobacterium_A","Devosia","Dokdonella","FEN-1219","Flavisolibacter_B","Flavobacterium","Flavobacterium_A","Gemmatimonadaceae Family","Gemmatimonadetes Class","Gemmatirosa","Gp7-AA6 Family","GR16-43","Haliangiaceae Family","Hydrogenophaga","Hymenobacteraceae Family","Luteimonas","Lysobacter","Massilia","Micromonosporaceae Family","Myroides","Nakamurella","Nitrososphaeraceae Family","Nitrosospira","Nitrospiraceae Family","Nitrospirales Order","Nocardioides","Nonomuraea","Paenibacillaceae Family","PALSA-1003","Palsa-1005 Family","Palsa-1315","Palsa-955","Pedobacter","Pedobacter_A","Phenylobacterium","Plantactinospora_A","Pontibacter","Pseudaminobacter","Pseudolabrys","Pseudomonas_E","RSA9 Family","RSA9 Order","Simplicispira_B","Sphingobacteriaceae Family","Sphingobacterium","Sphingobium","Sphingomonas_A","Sphingomonas_F","Sphningosinicella","Stenotrophomonas","Steroidobacter","Streptomyces","Tardiphaga","UBA4665 Family","UBA5005","Vulgatibacter","Vulgatibacteraceae Family"
"1","CAZy..Alpha.galactans","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","CAZy..Alpha.mannan","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"3","CAZy..Amorphous.Cellulose","0","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","0","0","0","1","0","0","1","0","1"
"4","CAZy..Arabinan","1","1","1","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","1","1","1","1","0","0","1","1","1","0","0","1","0","0"
"5","CAZy..Arabinose.cleavage","0","1","0","0","0","0","0","0","1","0","0","1","0","1","1","1","0","0","1","1","0","1","1","0","0","1","0","0","0","1","0","1","1","1","1","0","1","1","0","0","1","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0"
"6","CAZy..Beta.galactan..pectic.galactan.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"7","CAZy..Beta.mannan","0","1","1","0","0","0","1","0","1","0","0","1","1","1","1","1","0","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","1","1","1","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0"
"8","CAZy..Chitin","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"9","CAZy..Crystalline.Cellulose","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"10","CAZy..Fucose.Cleavage","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0"
