,D530E11,D510E1,D205A2,D630G3,D630G2,D230B2,D305B6,D530E12,D330C4,D630G1,D405C7,D205A1,D730H6,D510E2,D310B8,D210A4,D725H1,D625F10,D405C9,D815A3,D310B7,D405C8,D530E10,D705G4,D225A11,D325C2,D305B4,D325C1,D225A10,D815A1,D205A3,D815A2,D325C3,D415D2,D305B5,D415D3,D825A4,D725H3,D415D1,D715G11,D515E4,D315B10,D715G10,D525E8,D615F7,D525E7,D710G8,D825A6,D505D12,D615F8,D715G12,D725H2,D510E3,D625F11,D805H7,D525E9,D705G6,D610F6,D705G5,D710G9,D625F12,D515E6,D410C11,D215A8,D710G7,D805H9,D810H11,D605F1,D605F2,D215A9,D315B12,D805H8,D425D6,D215A7,D810H10,D410C10,D515E5,D505D11,D230B3,D830A8,D230B1,D730H4,D330C5,D605F3,D430D7,D330C6,D425D4,D830A7,D730H5,D830A9,D210A6,D430D9,D210A5,D810H12,D505D10
D530E11,0,0.870394593,0.734844317,0.207312982,0.21752809,0.321412556,0.797465589,0.19383681,0.226042429,0.22342806,0.81887166,0.714095892,0.22645313,0.886759676,0.827904185,0.851637555,0.832984697,0.88696794,0.832921132,0.785808581,0.824738903,0.829955512,0.193405484,0.830040389,0.910131966,0.900191518,0.819224468,0.899441952,0.917361638,0.824776725,0.72861715,0.787628075,0.894587206,0.784760754,0.806699913,0.800230377,0.817982816,0.835428446,0.813059476,0.82715101,0.814557306,0.803389094,0.829965688,0.87277077,0.8066866,0.868587645,0.821850928,0.842840952,0.839598997,0.809791844,0.820280208,0.83389142,0.880279384,0.887109905,0.821631879,0.874158779,0.840167088,0.829929365,0.839313999,0.84276074,0.887058053,0.7985705,0.846103578,0.824696097,0.83887649,0.831659389,0.806792782,0.84400962,0.862858389,0.824246382,0.809336394,0.846572954,0.861648901,0.815782328,0.816871417,0.855586119,0.806528318,0.845015237,0.312008039,0.245001657,0.328150344,0.295926383,0.24963973,0.865648855,0.236134175,0.232121145,0.872115227,0.272907598,0.256830003,0.313589038,0.847732827,0.309300957,0.821399753,0.824752962,0.847049313
D510E1,0.870394593,0,0.637674965,0.85987192,0.858451472,0.858324266,0.499044992,0.865524205,0.866309868,0.85979583,0.454021147,0.649392538,0.872703555,0.132535204,0.371177188,0.390455992,0.462097723,0.448931874,0.450867361,0.483440171,0.367152822,0.456766416,0.869482393,0.467712862,0.592859413,0.532819559,0.503766578,0.509405888,0.600126276,0.46229578,0.641946201,0.483795434,0.522039299,0.363495705,0.491362966,0.334718449,0.531281561,0.464839793,0.351965438,0.472287359,0.286543536,0.355529759,0.491667108,0.415381365,0.361288619,0.411365564,0.519763887,0.512821857,0.415475812,0.395932273,0.487714539,0.462280749,0.113643592,0.457105194,0.469054517,0.398203752,0.479555888,0.26160719,0.47381824,0.469494325,0.451876192,0.369212963,0.197587684,0.362043947,0.480513987,0.46097561,0.486416353,0.436292206,0.45472837,0.327730204,0.425613253,0.472213401,0.43660186,0.309133119,0.497639883,0.201604608,0.335853812,0.410234722,0.861377554,0.874718438,0.858081329,0.887811785,0.86965881,0.457415254,0.872084274,0.873993775,0.432932323,0.883567874,0.879712842,0.877234366,0.384014772,0.877527681,0.379580741,0.466298987,0.41932443
D205A2,0.734844317,0.637674965,0,0.717243646,0.7195377,0.721471719,0.448549095,0.724343084,0.730114106,0.718075195,0.564345764,0.144422743,0.740838271,0.653131818,0.513611809,0.627715356,0.595489858,0.652616903,0.537624562,0.53671159,0.527567452,0.534693438,0.736417074,0.590947999,0.53902074,0.563421829,0.507815846,0.590948091,0.553939265,0.58584394,0.131516331,0.539981741,0.58681672,0.497873257,0.479753428,0.510456427,0.567558869,0.606499166,0.506324345,0.583414005,0.540042599,0.501863486,0.584005125,0.604946168,0.53839595,0.600299561,0.589023612,0.590348696,0.563341166,0.560879075,0.604821306,0.608005595,0.644094994,0.645437616,0.607440872,0.593822063,0.581878905,0.58804272,0.593447187,0.612087971,0.632046208,0.516615352,0.583942775,0.579838963,0.608238621,0.575387908,0.576230428,0.587913854,0.609425091,0.555365906,0.505893699,0.61589404,0.602409639,0.537134643,0.55804121,0.601535748,0.548373424,0.545823109,0.724552863,0.747997402,0.719875062,0.773087071,0.735824462,0.620523784,0.744521588,0.74317591,0.599550778,0.761218208,0.755299168,0.763685408,0.607452755,0.757172077,0.579091724,0.616096752,0.556988111
D630G3,0.207312982,0.85987192,0.717243646,0,0.166349704,0.275588793,0.786685522,0.18963104,0.222141296,0.144591734,0.80891371,0.686108049,0.216659233,0.879777285,0.815810921,0.841504511,0.819118614,0.874591414,0.825972747,0.768539818,0.811829704,0.824336888,0.20853107,0.816521739,0.905516942,0.898654171,0.806613008,0.896927435,0.913826575,0.803153473,0.708461538,0.768236129,0.890679443,0.77441059,0.794343085,0.789174723,0.811454417,0.822137196,0.802920107,0.816632062,0.803331891,0.792536506,0.820055318,0.866594478,0.787798408,0.863927834,0.810609334,0.832321169,0.828450521,0.802961396,0.802106163,0.819732167,0.872636383,0.878181916,0.807158668,0.869245437,0.832421191,0.816476746,0.829227171,0.82769735,0.880582419,0.78130055,0.830161054,0.805776787,0.823947097,0.819436895,0.789045112,0.829541744,0.850086843,0.811226701,0.791966035,0.833224826,0.856493014,0.797414959,0.801446202,0.84100727,0.792917878,0.831039341,0.279750987,0.250659921,0.271927382,0.290949721,0.241390728,0.853730047,0.249118166,0.246423068,0.867007117,0.287321007,0.259554053,0.311200645,0.837452009,0.307696405,0.809717684,0.804077195,0.836633929
D630G2,0.21752809,0.858451472,0.7195377,0.166349704,0,0.293965904,0.784590164,0.218565401,0.248775545,0.15883143,0.808339751,0.689708652,0.238543417,0.878889915,0.815492112,0.838685015,0.814737306,0.871811713,0.824929895,0.765683469,0.813561167,0.822957305,0.222328191,0.816315387,0.903873432,0.896972683,0.808108403,0.896442255,0.914075198,0.800690676,0.710720989,0.765827989,0.89016519,0.771805441,0.794685466,0.78796027,0.807610183,0.818990609,0.801988902,0.814668423,0.801651994,0.790806346,0.81790443,0.86629678,0.788219938,0.862633763,0.806794747,0.82679121,0.827864385,0.799936252,0.802158853,0.817013565,0.872802708,0.878264647,0.80333026,0.868739395,0.830309029,0.813640099,0.827878258,0.825347165,0.878930131,0.780931744,0.830890765,0.807232771,0.821488863,0.816295325,0.78685574,0.826881015,0.848184099,0.809254219,0.793503227,0.82895454,0.856147987,0.798315675,0.799857978,0.83954276,0.790765571,0.831663763,0.289583915,0.258260581,0.296401992,0.303581453,0.258068094,0.85184377,0.253405693,0.25975893,0.866928661,0.280855521,0.268664074,0.313292676,0.834519476,0.318850661,0.805069695,0.802719974,0.835768588
D230B2,0.321412556,0.858324266,0.721471719,0.275588793,0.293965904,0,0.780261723,0.309121527,0.294950289,0.275184275,0.807223625,0.693821156,0.33705981,0.881970411,0.820687401,0.840453357,0.821079239,0.877771709,0.826630822,0.782451131,0.819504778,0.827402818,0.333221383,0.820638553,0.90430049,0.898727263,0.792389052,0.897433097,0.912963564,0.808893508,0.712239727,0.772138052,0.89226067,0.773402797,0.793398268,0.787658107,0.818191751,0.827826182,0.804287046,0.817484663,0.804468062,0.796248102,0.823846028,0.866478506,0.793889401,0.863477882,0.81587783,0.840094822,0.830088111,0.811810857,0.807941697,0.823771166,0.875476631,0.879286991,0.822373762,0.868479983,0.834741578,0.821809237,0.833923995,0.834821184,0.881917211,0.783243243,0.834085349,0.804130296,0.829158289,0.822144725,0.802557823,0.82813182,0.85439112,0.809885932,0.800502019,0.839007941,0.857763301,0.800162646,0.814683599,0.845057034,0.797151489,0.836810083,0.149958206,0.340169809,0.154262744,0.374257869,0.265464203,0.855323318,0.312078683,0.29769392,0.868089973,0.34910071,0.360222987,0.368840541,0.839215049,0.315606813,0.817625262,0.815466783,0.841502125
D305B6,0.797465589,0.499044992,0.448549095,0.786685522,0.784590164,0.780261723,0,0.793906908,0.794647255,0.787548977,0.281066039,0.466436806,0.804771762,0.51968712,0.369203803,0.666737513,0.379513554,0.361806369,0.262155657,0.466059957,0.359034103,0.287646336,0.801560028,0.402082669,0.475952861,0.405379494,0.178203083,0.385770583,0.473057049,0.449202709,0.451831167,0.414964535,0.390526876,0.313586056,0.162550137,0.321766056,0.47626911,0.385051023,0.312095783,0.409741508,0.391644632,0.390122673,0.433009915,0.355917849,0.339401958,0.369847004,0.441322489,0.49981607,0.297443513,0.406579764,0.426943384,0.398514719,0.478593435,0.369405548,0.418632885,0.360600735,0.410506045,0.408090391,0.410388644,0.443477332,0.360208201,0.372416702,0.418756295,0.582779393,0.428541148,0.404144527,0.472695431,0.328367738,0.35370901,0.560016951,0.376928807,0.437997242,0.34858111,0.564849574,0.470528833,0.451659452,0.395074721,0.312566222,0.781784609,0.805331613,0.779530986,0.82381836,0.79559918,0.366454352,0.801141872,0.800580833,0.347708322,0.812322377,0.813269384,0.810369281,0.651282051,0.804969526,0.640316413,0.481851517,0.3125164
D530E12,0.19383681,0.865524205,0.724343084,0.18963104,0.218565401,0.309121527,0.793906908,0,0.205680153,0.201837432,0.81586917,0.697732439,0.204957102,0.88421396,0.82187739,0.845750205,0.829336861,0.880458007,0.830820033,0.777031121,0.819489079,0.825871741,0.188005391,0.824889326,0.907606618,0.901150685,0.814492754,0.899852079,0.915405889,0.811697575,0.712880588,0.779545704,0.892909937,0.780503906,0.802203767,0.796111172,0.817075844,0.82937555,0.807963044,0.821748448,0.810606473,0.797139283,0.826025305,0.869657538,0.799129015,0.866550085,0.817263295,0.841655858,0.832833215,0.809007285,0.80971834,0.827616535,0.877602317,0.883695652,0.820955483,0.872342757,0.83961693,0.824542165,0.834171954,0.837050874,0.885920341,0.79114027,0.834987458,0.814852384,0.83167993,0.827384531,0.795283328,0.839089267,0.856448884,0.817468534,0.800208003,0.8392711,0.860044655,0.80498151,0.809075998,0.848932677,0.799123329,0.836303199,0.310822898,0.254134174,0.300212837,0.286621341,0.248376533,0.859459459,0.251261017,0.253085395,0.870957168,0.286029574,0.261184211,0.319576491,0.842414356,0.316302485,0.815987934,0.81303302,0.841554236
D330C4,0.226042429,0.866309868,0.730114106,0.222141296,0.248775545,0.294950289,0.794647255,0.205680153,0,0.228207859,0.815306628,0.708626907,0.235620897,0.883050479,0.824822307,0.850462178,0.832312869,0.885861521,0.831919815,0.787796946,0.821660217,0.826967529,0.219150371,0.829587093,0.907436752,0.900866323,0.81240081,0.898799408,0.914482609,0.820028549,0.718993641,0.786977051,0.893387388,0.784542552,0.804573353,0.799824118,0.82342619,0.836083608,0.811798371,0.82449002,0.813313014,0.803102041,0.828749181,0.868809589,0.803573374,0.865696943,0.821492635,0.845338525,0.833597205,0.81452514,0.814974182,0.834323432,0.879052983,0.886338917,0.827900913,0.872258772,0.840281985,0.833095578,0.837894046,0.841781198,0.888251052,0.797406543,0.840772673,0.819541642,0.835715065,0.831318711,0.809024364,0.842160031,0.859304167,0.820293332,0.805225393,0.845061964,0.859735164,0.810513714,0.817594923,0.851698733,0.801592029,0.840558373,0.299731484,0.265260944,0.288308486,0.284115828,0.227658984,0.86341037,0.239669421,0.232098355,0.870653838,0.294390459,0.287579548,0.332648649,0.847970399,0.308360129,0.821259163,0.821991247,0.845231666
D630G1,0.22342806,0.85979583,0.718075195,0.144591734,0.15883143,0.275184275,0.787548977,0.201837432,0.228207859,0,0.811109894,0.684831771,0.228941203,0.880036779,0.818537646,0.841744616,0.819458155,0.876594353,0.826863056,0.767536168,0.812920009,0.82500684,0.219931847,0.82033714,0.905465609,0.899144088,0.808575471,0.897307315,0.913995899,0.801626726,0.705662452,0.767236203,0.891600392,0.7749439,0.797904515,0.790371059,0.812223979,0.822914958,0.802921705,0.817406517,0.804957246,0.792099567,0.820500298,0.867497291,0.789308346,0.864506307,0.812885094,0.833306447,0.828357399,0.804656085,0.804032733,0.820946131,0.873980646,0.880603472,0.807810728,0.870809485,0.834957836,0.818013202,0.829569571,0.830992074,0.881387258,0.781937851,0.829960393,0.803654909,0.82406855,0.820752665,0.790125468,0.832280549,0.850657109,0.810256966,0.794357913,0.833242862,0.856306892,0.798171095,0.804166893,0.842293907,0.794852466,0.832899588,0.28424448,0.267084846,0.272078899,0.301062046,0.252015461,0.853324641,0.262269769,0.263517234,0.868239387,0.301092386,0.273441335,0.320720236,0.837905102,0.322888356,0.810044487,0.806037531,0.838694088
