"","D530E11","D510E1","D205A2","D630G3","D630G2","D230B2","D305B6","D530E12","D330C4","D630G1","D405C7","D205A1","D730H6","D510E2","D310B8","D210A4","D725H1","D625F10","D405C9","D815A3","D310B7","D405C8","D530E10","D705G4","D225A11","D325C2","D305B4","D325C1","D225A10","D815A1","D205A3","D815A2","D325C3","D415D2","D305B5","D415D3","D825A4","D725H3","D415D1","D715G11","D515E4","D315B10","D715G10","D525E8","D615F7","D525E7","D710G8","D825A6","D505D12","D615F8","D715G12","D725H2","D510E3","D625F11","D805H7","D525E9","D705G6","D610F6","D705G5","D710G9","D625F12","D515E6","D410C11","D215A8","D710G7","D805H9","D810H11","D605F1","D605F2","D215A9","D315B12","D805H8","D425D6","D215A7","D810H10","D410C10","D515E5","D505D11","D230B3","D830A8","D230B1","D730H4","D330C5","D605F3","D430D7","D330C6","D425D4","D830A7","D730H5","D830A9","D210A6","D430D9","D210A5","D810H12","D505D10"
"D530E11",0,0.870394593416176,0.734844317306634,0.207312982220731,0.21752808988764,0.321412556053812,0.797465588813633,0.193836810436934,0.226042428675933,0.223428059968673,0.818871659518311,0.714095891927804,0.226453130249748,0.886759676456218,0.827904185082119,0.851637554585153,0.832984696686117,0.886967939599519,0.83292113217917,0.785808580858086,0.824738903394256,0.829955511616411,0.193405484214658,0.830040388603864,0.910131966408551,0.900191518467852,0.819224467504096,0.899441952073531,0.917361637604246,0.824776724563038,0.728617150424898,0.787628075173963,0.894587206123565,0.784760753721914,0.806699913269731,0.800230376830673,0.817982816176873,0.835428445957073,0.813059476083256,0.827151009657594,0.814557305812059,0.803389094069085,0.829965688143347,0.872770769899957,0.806686599619462,0.868587644619079,0.82185092763372,0.842840952021156,0.839598997493734,0.809791843670348,0.820280208277417,0.833891420102102,0.880279384481065,0.887109905020353,0.821631878557875,0.874158778793019,0.840167088051006,0.829929365383562,0.839313998579933,0.842760739562188,0.887058053251855,0.798570500324886,0.846103577846757,0.82469609724888,0.838876490120298,0.831659388646288,0.806792781987679,0.844009619588981,0.862858388749591,0.824246381543149,0.809336394446266,0.846572954124442,0.861648901457472,0.815782327703253,0.816871416871417,0.855586119339822,0.80652831820147,0.845015237265999,0.312008038854463,0.245001656909312,0.32815034397897,0.295926383121984,0.249639729520009,0.865648854961832,0.236134174692793,0.232121145130983,0.872115227235528,0.272907598214778,0.256830002737476,0.313589038139936,0.847732826500136,0.309300957372841,0.821399752541826,0.824752961729541,0.847049312853678
"D510E1",0.870394593416176,0,0.637674965274068,0.859871920112884,0.85845147219193,0.858324265505985,0.499044991511036,0.865524204551656,0.866309868385124,0.859795829713293,0.454021147068247,0.649392538436727,0.87270355473421,0.13253520383946,0.371177187682196,0.390455991516437,0.462097722655832,0.44893187373791,0.450867360555111,0.483440170940171,0.36715282181357,0.456766415959887,0.869482392641376,0.467712861838617,0.592859413073419,0.53281955886261,0.503766578249337,0.509405887979594,0.60012627591287,0.46229577989463,0.641946200835923,0.483795433984354,0.522039298990972,0.363495705063224,0.491362966083842,0.334718448670822,0.531281560622973,0.464839793143893,0.351965438156702,0.472287358772117,0.286543535620053,0.355529759392149,0.491667107560447,0.415381364884851,0.361288618959599,0.41136556403732,0.519763887424897,0.512821857464996,0.415475812427226,0.395932273384266,0.487714539099588,0.462280748520552,0.113643591646348,0.457105193778012,0.469054516723729,0.398203751926449,0.47955588769083,0.261607190341967,0.473818239694414,0.469494325145202,0.45187619249523,0.369212962962963,0.197587684494525,0.362043946932007,0.480513986568664,0.460975609756098,0.486416353333686,0.436292206413251,0.454728370221328,0.327730204038482,0.425613252628226,0.472213401079708,0.436601859678783,0.309133118767477,0.497639883320074,0.201604608105328,0.335853812224323,0.410234721928526,0.861377553785292,0.874718438270943,0.858081329062381,0.887811785208583,0.869658809600689,0.457415254237288,0.872084273890143,0.873993774820221,0.432932322857597,0.88356787415057,0.879712842329168,0.87723436599046,0.384014771828014,0.877527681031346,0.379580741282869,0.466298987113539,0.419324430479183
"D205A2",0.734844317306634,0.637674965274068,0,0.717243645924628,0.719537699504678,0.721471718835805,0.448549095192205,0.724343083787804,0.730114106168348,0.718075194563192,0.564345764173313,0.144422743055556,0.740838270792188,0.653131818423713,0.513611809381184,0.627715355805243,0.59548985757445,0.652616902616903,0.537624562348505,0.536711590296496,0.527567452276848,0.534693438122409,0.736417074108663,0.590947999144019,0.539020739790464,0.563421828908555,0.507815845824411,0.590948090948091,0.553939265236781,0.585843939638043,0.131516331386546,0.539981741045057,0.586816720257235,0.497873256878264,0.479753427569349,0.510456427073813,0.567558869280695,0.606499166083822,0.506324344690242,0.583414004517586,0.540042598509052,0.501863486316686,0.584005125193529,0.60494616778595,0.538395949906741,0.600299561356585,0.589023611997447,0.590348695698185,0.563341166417432,0.560879075096344,0.604821306384547,0.608005595308549,0.644094993581515,0.645437616387337,0.607440871644964,0.593822062530166,0.581878905408317,0.588042719905544,0.593447186680229,0.612087971178147,0.632046208150604,0.51661535194819,0.583942774782469,0.579838962668619,0.608238621204845,0.575387907972178,0.576230428044675,0.587913854066217,0.609425090831374,0.555365905696608,0.505893699099871,0.615894039735099,0.602409638554217,0.53713464302827,0.558041209526358,0.601535747639307,0.54837342375755,0.545823108929905,0.724552863315648,0.747997402035072,0.719875061647214,0.773087071240106,0.735824462307191,0.620523784072688,0.744521588197006,0.743175909878683,0.599550778116477,0.761218208326583,0.755299168231822,0.763685407521024,0.607452754857599,0.757172077411234,0.579091724247059,0.616096751752555,0.556988110964333
"D630G3",0.207312982220731,0.859871920112884,0.717243645924628,0,0.166349703546258,0.27558879339212,0.786685521592516,0.189631039695426,0.222141296431173,0.144591734432438,0.808913710030661,0.686108048511577,0.216659232827832,0.879777285258663,0.815810920945395,0.84150451135993,0.819118614338961,0.874591414251471,0.825972746675423,0.768539818161902,0.811829704257394,0.824336888159694,0.208531070291999,0.816521739130435,0.905516941789748,0.898654170980221,0.806613008483794,0.896927435171061,0.913826574633305,0.803153472638987,0.708461538461538,0.768236128539473,0.890679442508711,0.774410590230294,0.794343085393501,0.789174722813917,0.811454416653043,0.822137195955179,0.802920107179964,0.816632062069719,0.803331890956296,0.792536506219578,0.820055317533489,0.866594477531132,0.787798408488064,0.863927833931094,0.810609334485739,0.832321169452357,0.828450520833333,0.802961396086727,0.802106163468221,0.819732167258814,0.872636383394914,0.878181916445982,0.80715866760244,0.869245437210569,0.83242119089317,0.816476746088,0.829227171371077,0.827697350450696,0.880582418776486,0.781300549983824,0.830161054172767,0.805776786662419,0.823947097403653,0.819436895314708,0.789045111557462,0.829541743768368,0.850086843247937,0.811226701343736,0.791966035271065,0.833224826388889,0.856493014188238,0.797414958628522,0.801446202359593,0.841007270045306,0.792917877515876,0.831039341064268,0.279750986604413,0.250659920809503,0.271927382079412,0.290949720670391,0.241390728476821,0.853730046693452,0.249118165784832,0.246423068456967,0.867007116857717,0.287321007296867,0.259554053317342,0.311200644641418,0.83745200886822,0.307696404793609,0.809717683612793,0.804077194889916,0.836633929050609
"D630G2",0.21752808988764,0.85845147219193,0.719537699504678,0.166349703546258,0,0.293965903992822,0.784590163934426,0.218565400843882,0.248775544671508,0.158831430490262,0.808339751347783,0.689708651822311,0.238543417366947,0.878889914734155,0.815492112014848,0.83868501529052,0.814737305870691,0.871811713191024,0.824929894979931,0.7656834690733,0.813561166739225,0.822957305346448,0.222328190743338,0.816315387135525,0.903873431533006,0.896972682980238,0.808108403453174,0.896442255062945,0.914075197746235,0.800690675875678,0.710720989290052,0.765827988817629,0.890165189804179,0.771805441055235,0.79468546637744,0.787960269988476,0.807610183410895,0.818990609039486,0.801988901708697,0.814668423364076,0.80165199434844,0.790806346446425,0.817904429793494,0.866296779808529,0.788219937999674,0.862633762830312,0.806794746553783,0.826791209977863,0.827864384606999,0.79993625159371,0.802158852908007,0.817013564720742,0.872802707719183,0.878264646793723,0.803330259803656,0.868739394602879,0.830309028923348,0.813640098603122,0.827878258018688,0.825347165047478,0.878930131004367,0.780931744312026,0.830890765459003,0.807232771495626,0.821488863475467,0.816295325469637,0.786855740387237,0.826881014873141,0.848184098593085,0.809254218835057,0.793503226512086,0.828954540499291,0.856147986942329,0.798315675088291,0.799857977822691,0.839542760372566,0.790765570934256,0.831663763066202,0.289583915107512,0.258260581279699,0.296401992054166,0.30358145278994,0.258068093600976,0.851843770456033,0.253405692767748,0.259758929558775,0.866928661099285,0.280855520643845,0.268664074053788,0.313292676345189,0.834519476286195,0.318850660816523,0.805069694849578,0.802719973783385,0.835768587911792
"D230B2",0.321412556053812,0.858324265505985,0.721471718835805,0.27558879339212,0.293965903992822,0,0.780261723009815,0.309121526803256,0.294950289277088,0.275184275184275,0.807223624986277,0.69382115618437,0.337059809949693,0.881970411315233,0.820687401274579,0.840453356582389,0.821079239476866,0.877771709448389,0.82663082240632,0.782451131122337,0.819504778453519,0.827402818136959,0.33322138259166,0.820638552903999,0.904300489929232,0.898727262795652,0.792389052447934,0.897433096668487,0.9129635636285,0.808893507630039,0.712239726781976,0.772138051742055,0.892260670232507,0.773402796819304,0.793398268398268,0.787658106554235,0.818191750887736,0.827826182256562,0.804287045666356,0.817484662576687,0.804468062032318,0.796248102363912,0.823846028380362,0.866478506296135,0.793889401421827,0.86347788189148,0.815877829524532,0.840094822477237,0.830088110518873,0.811810856658185,0.807941696586464,0.823771165543317,0.875476631441333,0.879286991385382,0.822373761974347,0.868479982522257,0.834741577965544,0.821809237496584,0.833923995420097,0.834821184073608,0.881917211328976,0.783243243243243,0.834085349279696,0.804130295933575,0.829158289409335,0.822144725370532,0.802557823129252,0.828131820165866,0.854391119817173,0.809885931558935,0.800502018989414,0.83900794082454,0.857763300760043,0.800162645703443,0.814683599498556,0.845057034220532,0.797151488994389,0.836810082572794,0.149958205628309,0.340169809240269,0.154262743565407,0.374257869385012,0.265464202722142,0.85532331809275,0.312078682727373,0.29769392033543,0.868089973313,0.349100709531929,0.360222987374979,0.36884054068609,0.839215048517374,0.315606812963853,0.817625261801192,0.81546678293095,0.841502125141228
"D305B6",0.797465588813633,0.499044991511036,0.448549095192205,0.786685521592516,0.784590163934426,0.780261723009815,0,0.793906908056665,0.794647255213179,0.787548976926426,0.281066038745585,0.466436806378623,0.804771761629807,0.519687120131071,0.369203803048813,0.666737513283741,0.379513554055502,0.361806369155395,0.262155656592672,0.466059957173448,0.359034102944291,0.287646335596301,0.801560028364152,0.402082669216874,0.475952861237923,0.405379494007989,0.178203083466241,0.385770582596656,0.473057049456923,0.449202709188843,0.451831167436366,0.414964535224788,0.390526875997871,0.313586055712987,0.162550137217648,0.321766056270354,0.476269109891866,0.385051023134049,0.312095782778342,0.409741508224738,0.391644632469593,0.390122673434856,0.433009914638672,0.355917848824899,0.339401958189997,0.369847003824904,0.441322488644766,0.499816070208629,0.297443513312825,0.406579764121664,0.426943384390193,0.398514719239194,0.478593434611707,0.369405548216645,0.418632884666139,0.360600734941684,0.410506044720231,0.408090390662474,0.410388643734382,0.443477332194158,0.360208200552369,0.372416701813581,0.418756295393098,0.582779393435812,0.42854114779291,0.404144527098831,0.472695430663907,0.328367737816557,0.353709009869468,0.560016950948194,0.376928807066085,0.43799724196457,0.34858110969928,0.564849574366838,0.470528833377624,0.451659451659452,0.395074721111345,0.312566221657131,0.781784608700375,0.805331613458024,0.779530986451929,0.823818360441,0.795599180239456,0.366454352441614,0.801141872239578,0.800580832526621,0.347708322268841,0.812322376534935,0.813269384492406,0.810369280874087,0.651282051282051,0.804969526488514,0.64031641259364,0.481851517245044,0.312516399895041
"D530E12",0.193836810436934,0.865524204551656,0.724343083787804,0.189631039695426,0.218565400843882,0.309121526803256,0.793906908056665,0,0.205680153273977,0.201837432076634,0.815869170199879,0.697732438875645,0.204957102001907,0.884213959556425,0.821877390449131,0.845750204974037,0.829336861253514,0.880458006902975,0.830820033021464,0.777031120903332,0.819489078925867,0.825871741282587,0.18800539083558,0.824889326119036,0.907606618249331,0.901150684931507,0.814492753623188,0.899852079110283,0.91540588905157,0.81169757489301,0.712880587942753,0.779545703939427,0.892909937038051,0.780503905820222,0.802203767030342,0.796111172141052,0.817075843928102,0.829375549692172,0.807963044434668,0.821748447716907,0.810606472667936,0.79713928318921,0.826025305410122,0.869657537975717,0.799129014697877,0.866550084704082,0.817263295127383,0.841655858192823,0.832833215123575,0.809007284521721,0.809718340141905,0.827616534740545,0.877602316813289,0.883695652173913,0.820955483170467,0.872342756958142,0.839616929935605,0.824542164711043,0.834171953620652,0.837050873530381,0.885920340927717,0.791140270021146,0.83498745773803,0.814852383748865,0.831679930230023,0.827384531292703,0.795283327874222,0.839089267144655,0.856448883794553,0.8174685337547,0.800208002627402,0.839271100441923,0.860044655012797,0.804981509680226,0.809075997813013,0.848932676518883,0.79912332918448,0.836303198735764,0.3108228980322,0.254134173994801,0.300212837459393,0.286621340675395,0.24837653327413,0.859459459459459,0.251261016573361,0.253085394875201,0.870957167832168,0.286029574045465,0.261184210526316,0.319576490924806,0.842414355628059,0.316302485004284,0.815987933634992,0.81303301989941,0.841554236373449
"D330C4",0.226042428675933,0.866309868385124,0.730114106168348,0.222141296431173,0.248775544671508,0.294950289277088,0.794647255213179,0.205680153273977,0,0.228207859184932,0.815306628464378,0.708626907073509,0.23562089669491,0.883050478677111,0.824822307271733,0.850462177979544,0.832312868884108,0.885861520749959,0.831919814957594,0.787796946480736,0.821660216929198,0.826967528893781,0.219150370869858,0.82958709324583,0.90743675209005,0.900866323061739,0.81240080993816,0.898799407927197,0.914482608931575,0.820028549467443,0.718993641139065,0.786977050620402,0.893387388374514,0.784542552020258,0.804573352886861,0.799824117841046,0.823426189953937,0.836083608360836,0.811798371120405,0.824490020344202,0.813313013661351,0.803102040816327,0.828749181401441,0.868809588667938,0.803573374005883,0.865696943183682,0.821492634668696,0.845338524767467,0.833597204782443,0.814525139664804,0.814974182444062,0.834323432343234,0.879052982667177,0.886338916684794,0.827900912646675,0.872258771929825,0.840281984909401,0.833095577746077,0.837894045534151,0.841781198460693,0.888251052430157,0.797406543323748,0.840772672705446,0.819541642181741,0.835715064906731,0.831318711371219,0.809024363596635,0.842160030669807,0.859304167349391,0.820293331879396,0.805225392999945,0.845061964295463,0.859735164296224,0.810513713539399,0.817594922858081,0.851698733237929,0.801592029024747,0.840558372866569,0.299731483553368,0.265260944158503,0.288308485595785,0.284115827944897,0.227658983615662,0.863410369884718,0.239669421487603,0.232098355208506,0.870653837743276,0.294390459363958,0.287579547948212,0.332648648648649,0.847970399390576,0.308360128617363,0.821259163432514,0.82199124726477,0.845231666486662
"D630G1",0.223428059968673,0.859795829713293,0.718075194563192,0.144591734432438,0.158831430490262,0.275184275184275,0.787548976926426,0.201837432076634,0.228207859184932,0,0.811109893721924,0.684831770546056,0.228941202722303,0.880036778625128,0.818537646099484,0.841744616053948,0.819458155094878,0.876594352992478,0.826863056452938,0.767536168347216,0.812920008671147,0.82500683994528,0.219931847382828,0.820337139749864,0.90546560904053,0.899144087662869,0.808575470671455,0.897307314946037,0.913995899428078,0.801626726349692,0.705662451896647,0.767236202849501,0.891600392199586,0.774943900169668,0.797904515014042,0.790371058527788,0.812223979063301,0.822914957615532,0.802921704874979,0.81740651650995,0.804957246455244,0.792099567099567,0.820500298442672,0.867497291440953,0.789308346422575,0.864506307090039,0.812885093503405,0.833306447276442,0.828357398762349,0.804656084656085,0.804032732523934,0.820946130708231,0.873980645862781,0.880603471583843,0.807810727596824,0.870809484873262,0.834957835943489,0.818013201680214,0.829569570658976,0.830992074337251,0.881387258099587,0.781937850668968,0.829960392816451,0.803654908627284,0.824068550355225,0.820752664781379,0.790125468469936,0.832280548900022,0.850657108721625,0.810256966279952,0.794357913081364,0.833242861795679,0.85630689206762,0.798171094637736,0.804166893325355,0.842293906810036,0.794852466077967,0.832899587941878,0.284244480284745,0.267084846483988,0.272078898980331,0.301062045835662,0.252015461071231,0.853324641460235,0.262269769493769,0.263517233784825,0.868239386856553,0.30109238623264,0.273441335297005,0.320720236495566,0.837905101985608,0.322888355981881,0.810044487323793,0.806037530595594,0.838694087955754
