"","710.G7","330.C4","630.G3","215.A9","330.C6","310.B7","605.F1","730.H5","830.G5","510.3","730.H6","210.A6","515.2","525.2","815.F12","810.H10","505.D10","630.G2","405.C9","830.G6","315.B12","430.D8","510.2","725.H2","810.H12","405.C7","415.D2","625.F12","825.G2","725.H1","715.G11","410.C10","715.G12","215.A8","410.C12","210.A5","710.G9","815.F11","510.1","730.H4","515.3","225.A12","410.C11","805.H9","815.F10","605.F2","830.G4","705.G5","325.C2","630.G1","805.H7","205.A2","825.G1","230.B2","810.H11","725.H3","315.B10","610.F5","205.A3","610.F6","825.G3","415.D1","215.A7","415.D3","210.A4","610.F4","205.A1","310.B9","430.D9","425.D4","525.3","530.1","710.G8","330.C5","225.A11","515.1","405.C8","615.F7","230.B1","705.G6","505.D12","805.H8","430.D7","625.F11","325.C1","605.F3","310.B8","230.B3","305.B5","615.F9","505.D11","705.G4","530.3","625.F10","305.B4","530.2","715.G10","425.D6","305.B6","615.F8","425.D5","315.B11"
"710.G7",0,0.749034749034749,0.826589595375723,0.672823218997362,0.818181818181818,0.7,0.67816091954023,0.891679748822606,0.854922279792746,0.648745519713262,0.876756756756757,0.719512195121951,0.688775510204082,0.587443946188341,0.708333333333333,0.836601307189543,0.760416666666667,0.882264150943396,0.727748691099476,0.838862559241706,0.826923076923077,0.764192139737991,0.64963503649635,0.752411575562701,0.777777777777778,0.622516556291391,0.719626168224299,0.909375,0.841409691629956,0.752577319587629,0.685714285714286,0.718181818181818,0.732620320855615,0.691244239631336,0.668341708542714,0.709844559585492,0.785714285714286,0.720930232558139,0.60352422907489,0.824341279799247,0.633440514469453,0.654320987654321,0.689243027888446,0.85024154589372,0.724137931034483,0.718654434250764,0.822393822393822,0.666666666666667,0.718377088305489,0.861111111111111,0.862928348909657,0.967836919592299,0.746478873239437,0.823008849557522,0.795180722891566,0.730088495575221,0.783783783783784,0.626760563380282,0.971338353169784,0.729490022172949,0.795918367346939,0.628205128205128,0.634408602150538,0.656324582338902,0.767741935483871,0.663956639566396,0.976765799256506,0.701612903225806,0.72027972027972,0.60625,0.80188679245283,0.751091703056769,0.703703703703704,0.809290953545232,0.681917211328976,0.686170212765957,0.797101449275362,0.646112600536193,0.85025641025641,0.710382513661202,0.634615384615385,0.969912905779889,0.784810126582278,0.920430107526882,0.641025641025641,0.728813559322034,0.584507042253521,0.855839416058394,0.617977528089888,0.767955801104972,0.818181818181818,0.720238095238095,0.824212271973466,0.929460580912863,0.663911845730028,0.814084507042254,0.869047619047619,0.627906976744186,0.801169590643275,0.69054441260745,0.67175572519084,0.699300699300699
"330.C4",0.749034749034749,0,0.596759675967597,0.6576,0.605009633911368,0.696113074204947,0.806706114398422,0.796052631578947,0.729149463253509,0.775238095238095,0.735269000853971,0.634146341463415,0.661442006269592,0.778251599147121,0.779026217228464,0.880434782608696,0.885844748858447,0.711012094207511,0.85812356979405,0.695412844036697,0.872246696035242,0.590909090909091,0.769230769230769,0.76036866359447,0.824130879345603,0.751824817518248,0.735905044510386,0.882618510158014,0.890063424947146,0.777777777777778,0.82509505703422,0.832618025751073,0.875288683602771,0.641176470588235,0.838202247191011,0.70253164556962,0.850678733031674,0.684044233807267,0.767441860465116,0.693192713326942,0.759425493716337,0.766871165644172,0.790744466800805,0.881818181818182,0.838264299802761,0.794066317626527,0.644183773216031,0.753333333333333,0.702255639097744,0.653907496012759,0.869488536155203,0.954516198240721,0.811320754716981,0.709565217391304,0.823529411764706,0.787965616045845,0.833333333333333,0.758490566037736,0.963786385514554,0.724533715925395,0.833616298811545,0.716845878136201,0.686084142394822,0.642105263157895,0.71824480369515,0.730081300813008,0.967032967032967,0.801619433198381,0.626666666666667,0.706713780918728,0.877729257641921,0.659090909090909,0.832310838445808,0.62406015037594,0.656737588652482,0.64951768488746,0.867549668874172,0.725363489499192,0.733005733005733,0.787581699346405,0.819383259911894,0.96156394963552,0.569476082004556,0.909863945578231,0.708542713567839,0.7818853974122,0.720754716981132,0.779433681073025,0.687707641196013,0.911007025761124,0.82258064516129,0.77319587628866,0.632508833922262,0.914835164835165,0.67487684729064,0.667364016736402,0.932367149758454,0.671186440677966,0.802371541501976,0.721008403361345,0.826771653543307,0.804511278195489
"630.G3",0.826589595375723,0.596759675967597,0,0.734567901234568,0.574007220216607,0.794085432639649,0.831381733021077,0.67327262988752,0.532734274711168,0.837155963302752,0.645586297760211,0.697695852534562,0.736040609137056,0.870098039215686,0.850170261066969,0.89321468298109,0.921019108280255,0.558915537017727,0.910714285714286,0.578288100208768,0.912609238451935,0.672692673644148,0.831603229527105,0.748148148148148,0.856459330143541,0.832402234636871,0.735553379040157,0.917274939172749,0.882926829268293,0.727659574468085,0.869415807560137,0.867158671586716,0.915384615384615,0.643622200584226,0.898989898989899,0.722165474974464,0.918884664131812,0.773469387755102,0.841463414634146,0.588489208633094,0.814159292035398,0.837320574162679,0.862559241706161,0.912611717974181,0.875878220140515,0.806521739130435,0.487591240875912,0.816261879619852,0.735177865612648,0.517801374141162,0.905908096280088,0.942092651757188,0.856328392246294,0.528390113560454,0.857297297297297,0.768421052631579,0.899386503067485,0.824401368301026,0.954989384288747,0.779693486590038,0.831196581196581,0.814364640883978,0.749222797927461,0.697628458498024,0.683429513602638,0.794178794178794,0.958750255258321,0.871581450653983,0.700587084148728,0.76341730558598,0.91304347826087,0.676498572787821,0.880382775119617,0.547838412473423,0.667300380228137,0.715170278637771,0.9125,0.778467908902691,0.536989795918367,0.791449426485923,0.895131086142322,0.963362068965517,0.598367346938775,0.918581746552856,0.75635593220339,0.831081081081081,0.808437856328392,0.592658377738307,0.780821917808219,0.9328165374677,0.884177869700103,0.827771797631862,0.623745819397993,0.94046511627907,0.744769874476987,0.545663852647736,0.9526938239159,0.784418356456777,0.84629294755877,0.78343949044586,0.84327485380117,0.856655290102389
"215.A9",0.672823218997362,0.6576,0.734567901234568,0,0.724137931034483,0.592505854800937,0.744565217391304,0.859522085445329,0.792910447761194,0.616580310880829,0.833333333333333,0.549248747913189,0.56312625250501,0.642424242424242,0.70126582278481,0.835351089588378,0.79933110367893,0.803072625698324,0.778523489932886,0.789695057833859,0.815873015873016,0.752212389380531,0.63254593175853,0.722908093278464,0.742857142857143,0.667481662591687,0.614953271028037,0.884872824631861,0.808383233532934,0.709724238026125,0.705426356589147,0.718654434250764,0.775510204081633,0.537892791127542,0.751633986928105,0.63894523326572,0.815181518151815,0.57085020242915,0.664670658682635,0.785398230088496,0.636363636363636,0.645714285714286,0.692737430167598,0.838771593090211,0.766304347826087,0.682027649769585,0.769230769230769,0.68763557483731,0.585551330798479,0.763228699551569,0.808411214953271,0.954444935869085,0.718670076726343,0.780415430267062,0.763097949886105,0.685152057245081,0.793313069908815,0.59079283887468,0.964962121212121,0.609318996415771,0.688888888888889,0.68019093078759,0.55741127348643,0.52851711026616,0.672627235213205,0.642857142857143,0.966447517569712,0.707042253521127,0.694029850746269,0.583138173302108,0.793103448275862,0.723893805309734,0.748571428571429,0.762162162162162,0.561837455830389,0.565217391304348,0.802547770700637,0.591666666666667,0.796672828096118,0.695560253699789,0.695238095238095,0.966423357664234,0.680649526387009,0.911282545805207,0.593886462882096,0.711442786069652,0.611253196930946,0.807148794679967,0.606911447084233,0.805555555555556,0.796257796257796,0.720090293453725,0.76056338028169,0.901528013582343,0.54468085106383,0.760097919216646,0.861818181818182,0.583148558758315,0.761290322580645,0.539473684210526,0.653116531165312,0.704834605597964
"330.C6",0.818181818181818,0.605009633911368,0.574007220216607,0.724137931034483,0,0.8,0.854033290653009,0.727982162764771,0.606734006734007,0.812265331664581,0.648442906574395,0.707509881422925,0.756578947368421,0.862718707940781,0.858910891089109,0.907990314769976,0.924157303370786,0.643360433604336,0.89592123769339,0.582111436950147,0.917582417582418,0.699386503067485,0.836272040302267,0.758318739054291,0.876802096985583,0.832116788321168,0.738396624472574,0.929310344827586,0.900937081659973,0.744101633393829,0.8525,0.881081081081081,0.926449787835926,0.675052410901468,0.910987482614743,0.719646799116998,0.927374301675978,0.77728776185226,0.847389558232932,0.624905087319666,0.797833935018051,0.832241153342071,0.859922178988327,0.91220556745182,0.8898847631242,0.832349468713105,0.580570547417116,0.810068649885583,0.759318423855165,0.612565445026178,0.890606420927467,0.941641337386018,0.850746268656716,0.588483146067416,0.870892018779343,0.790123456790123,0.897574123989218,0.808457711442786,0.958593918481777,0.769309989701339,0.844727694090382,0.810096153846154,0.744394618834081,0.725239616613419,0.691228070175439,0.797525309336333,0.961028192371476,0.856770833333333,0.677555321390938,0.757142857142857,0.904371584699454,0.697341513292434,0.871559633027523,0.524663677130045,0.650663942798774,0.767857142857143,0.917469050894085,0.793952967525196,0.620066889632107,0.792325056433409,0.881868131868132,0.967470555243971,0.586805555555556,0.929655172413793,0.772675086107922,0.850306748466258,0.805970149253731,0.659653465346535,0.769406392694064,0.931526390870185,0.870246085011186,0.850467289719626,0.60106856634016,0.946107784431138,0.730464326160815,0.626016260162602,0.953488372093023,0.75462962962963,0.847047434656341,0.78596087456847,0.861892583120205,0.86848635235732
"310.B7",0.7,0.696113074204947,0.794085432639649,0.592505854800937,0.8,0,0.799352750809062,0.900151285930408,0.853899308983218,0.706422018348624,0.858170606372045,0.633333333333333,0.65,0.645756457564576,0.68452380952381,0.807909604519774,0.791666666666667,0.839766933721777,0.757322175732218,0.834080717488789,0.8046875,0.758893280632411,0.683229813664596,0.791044776119403,0.711340206185567,0.691428571428571,0.634453781512605,0.918604651162791,0.825454545454545,0.755555555555556,0.658536585365854,0.723880597014925,0.761702127659574,0.643153526970954,0.692307692307692,0.686635944700461,0.80327868852459,0.618390804597701,0.672727272727273,0.855621301775148,0.665738161559889,0.676975945017182,0.739130434782609,0.848484848484849,0.728155339805825,0.722666666666667,0.827878787878788,0.706467661691542,0.63169164882227,0.808712121212121,0.821138211382114,0.966838449473448,0.759036144578313,0.810924369747899,0.778947368421053,0.744,0.822222222222222,0.680722891566265,0.97406962785114,0.671342685370741,0.759590792838875,0.688888888888889,0.652380952380952,0.601713062098501,0.691616766467066,0.721822541966427,0.974724264705882,0.75,0.731656184486373,0.657608695652174,0.792307692307692,0.798418972332016,0.663230240549828,0.796766743648961,0.617357001972387,0.632075471698113,0.811764705882353,0.667458432304038,0.829912023460411,0.782608695652174,0.7421875,0.963386727688787,0.767647058823529,0.926380368098159,0.62406015037594,0.760932944606414,0.614457831325301,0.858391608391608,0.683168316831683,0.807860262008734,0.767772511848341,0.75,0.831029185867896,0.920754716981132,0.605839416058394,0.828496042216359,0.851851851851852,0.627551020408163,0.761140819964349,0.622166246851385,0.729032258064516,0.70059880239521
"605.F1",0.67816091954023,0.806706114398422,0.831381733021077,0.744565217391304,0.854033290653009,0.799352750809062,0,0.885985748218527,0.840670859538784,0.649253731343284,0.888402625820569,0.750519750519751,0.674540682414698,0.650943396226415,0.667870036101083,0.749152542372881,0.679558011049724,0.905631659056317,0.7,0.846338535414166,0.715736040609137,0.789709172259508,0.718631178707224,0.738134206219313,0.646551724137931,0.676975945017182,0.707434052757794,0.866454689984102,0.583333333333333,0.768826619964974,0.717472118959108,0.684210526315789,0.727272727272727,0.735224586288416,0.702127659574468,0.674666666666667,0.708108108108108,0.776595744680851,0.648148148148148,0.852417302798982,0.766666666666667,0.646551724137931,0.616666666666667,0.806451612903226,0.736,0.607594936708861,0.825065274151436,0.650145772594752,0.774509803921569,0.873620862587763,0.793548387096774,0.964577656675749,0.604395604395604,0.854423292273236,0.694704049844237,0.700680272108844,0.66824644549763,0.67032967032967,0.963955187530443,0.709090909090909,0.674698795180723,0.661129568106312,0.728531855955679,0.696078431372549,0.816091954022989,0.687150837988827,0.967388772420219,0.670886075949367,0.76555023923445,0.650485436893204,0.651741293532338,0.749440715883669,0.75,0.863692688971499,0.723214285714286,0.736986301369863,0.63265306122449,0.69060773480663,0.858921161825726,0.661971830985915,0.624365482233503,0.952076677316294,0.84219001610306,0.865070729053319,0.717647058823529,0.556338028169014,0.6996336996337,0.863594470046083,0.652173913043478,0.752941176470588,0.757575757575758,0.636923076923077,0.780405405405405,0.881104033970276,0.664772727272727,0.828326180257511,0.808917197452229,0.687687687687688,0.776892430278884,0.733727810650888,0.665338645418327,0.701818181818182
"730.H5",0.891679748822606,0.796052631578947,0.67327262988752,0.859522085445329,0.727982162764771,0.900151285930408,0.885985748218527,0,0.650228774783935,0.895394223263076,0.728074727555786,0.829986613119143,0.888091822094692,0.913469387755102,0.894573643410853,0.931192660550459,0.953098827470687,0.720670391061452,0.946353730092205,0.668472372697725,0.950413223140496,0.797260273972603,0.890282131661442,0.822660098522167,0.927710843373494,0.909509202453988,0.818181818181818,0.929354445797808,0.920260374288039,0.814393939393939,0.934477379095164,0.937806873977087,0.951219512195122,0.832869080779944,0.935054121565362,0.824207492795389,0.951585976627713,0.906407487401008,0.913751017087063,0.672040022234575,0.905559786747906,0.905220883534137,0.915403032721469,0.926553672316384,0.931908155186065,0.890142964635064,0.668353007307476,0.877581120943953,0.891625615763547,0.701492537313433,0.930461073318216,0.944618792689681,0.903576982892691,0.690451206715635,0.911544227886057,0.858321870701513,0.939542483660131,0.903576982892691,0.950771635084978,0.870612525808672,0.882527881040892,0.872146118721461,0.852983988355167,0.845179451090781,0.810110974106042,0.845368344274252,0.954014323407463,0.9168,0.795946890286513,0.857791225416036,0.945634266886326,0.775342465753425,0.926104417670683,0.693406593406593,0.787816563997262,0.869375907111756,0.945409429280397,0.864727272727273,0.68133535660091,0.847953216374269,0.930578512396694,0.972626931567329,0.766217870257038,0.91304347826087,0.874353288987435,0.887432536622976,0.898911353032659,0.6930409914204,0.85419734904271,0.962806424344886,0.918604651162791,0.880418535127055,0.704672897196262,0.951482479784367,0.853479853479853,0.698598130841122,0.969230769230769,0.867756315007429,0.89042904290429,0.896373056994819,0.903481012658228,0.90527950310559
"830.G5",0.854922279792746,0.729149463253509,0.532734274711168,0.792910447761194,0.606734006734007,0.853899308983218,0.840670859538784,0.650228774783935,0,0.837448559670782,0.651421508034611,0.775527426160338,0.808294930875576,0.884279475982533,0.845056065239551,0.881881881881882,0.929943502824859,0.619425173439049,0.920814479638009,0.512036434612882,0.922308546059933,0.6750651607298,0.853154084798345,0.746007604562738,0.856837606837607,0.851256281407035,0.76092774308653,0.914478619654914,0.882608695652174,0.733333333333333,0.874614594039055,0.88170865279299,0.925,0.733806566104703,0.89237668161435,0.734939759036145,0.928008998875141,0.842592592592593,0.871739130434783,0.587919463087248,0.856573705179283,0.846153846153846,0.860169491525424,0.898825654923216,0.90356394129979,0.823529411764706,0.551020408163265,0.828080229226361,0.827338129496403,0.630805408583186,0.905325443786982,0.931480031323414,0.848515864892528,0.585472761427677,0.865365853658537,0.776419213973799,0.895081967213115,0.834186284544524,0.936382536382536,0.793706293706294,0.832046332046332,0.808955223880597,0.780281690140845,0.784172661870504,0.724295506473724,0.7984934086629,0.938763257954773,0.853347502656748,0.675579322638146,0.798617966436328,0.911602209944751,0.671589921807124,0.867521367521368,0.57511581733951,0.711805555555556,0.816651075771749,0.92,0.810506566604128,0.601918465227818,0.784702549575071,0.90677025527192,0.965235173824131,0.648301886792453,0.89279112754159,0.82183908045977,0.831983805668016,0.852610030706244,0.605366126327557,0.805529075309819,0.938215102974828,0.887535145267104,0.815354713313897,0.635802469135803,0.940425531914894,0.808712121212121,0.603706343549537,0.953542392566783,0.824493731918997,0.865671641791045,0.852207293666027,0.849214659685864,0.877425944841675
"510.3",0.648745519713262,0.775238095238095,0.837155963302752,0.616580310880829,0.812265331664581,0.706422018348624,0.649253731343284,0.895394223263076,0.837448559670782,0,0.862660944206009,0.695390781563126,0.684210526315789,0.617391304347826,0.674576271186441,0.769968051118211,0.708542713567839,0.887387387387387,0.696969696969697,0.828437132784959,0.767441860465116,0.772043010752688,0.622775800711744,0.75516693163752,0.656,0.644012944983819,0.696551724137931,0.904173106646059,0.726495726495726,0.735144312393888,0.651567944250871,0.674008810572687,0.690721649484536,0.705215419501134,0.669902912621359,0.623409669211196,0.753694581280788,0.725888324873096,0.666666666666667,0.823383084577114,0.679245283018868,0.616,0.604651162790698,0.800475059382423,0.701492537313433,0.640718562874252,0.808673469387755,0.645429362880886,0.713615023474178,0.862068965517241,0.792682926829268,0.969244685662596,0.642611683848797,0.833150384193194,0.663716814159292,0.651416122004357,0.737991266375546,0.608247422680412,0.968962172647915,0.7117903930131,0.668571428571429,0.61128526645768,0.646437994722955,0.63849765258216,0.770334928229665,0.664893617021277,0.970772442588727,0.631372549019608,0.697247706422018,0.571865443425077,0.698630136986301,0.737634408602151,0.656,0.825454545454545,0.665236051502146,0.671018276762402,0.728971962616822,0.631578947368421,0.830957230142566,0.662198391420912,0.637209302325581,0.960629921259842,0.77151799687011,0.908217716115261,0.625698324022346,0.662251655629139,0.642611683848797,0.86038077969175,0.669421487603306,0.74468085106383,0.769028871391076,0.679300291545189,0.780327868852459,0.905930470347648,0.632432432432432,0.804741980474198,0.794285714285714,0.62962962962963,0.788461538461538,0.724719101123595,0.58364312267658,0.747440273037543
