"","D205A1","D205A2","D205A3","D210A4","D210A5","D210A6","D215A7","D215A8","D215A9","D225A10","D225A11","D230B1","D230B2","D230B3","D305B4","D305B5","D305B6","D310B7","D310B8","D315B10","D315B12","D325C1","D325C2","D325C3","D330C4","D330C5","D330C6","D405C7","D405C8","D405C9","D410C10","D410C11","D415D1","D415D2","D415D3","D425D4","D425D6","D430D7","D430D9","D505D10","D505D11","D505D12","D510E1","D510E2","D510E3","D515E4","D515E5","D515E6","D525E7","D525E8","D525E9","D530E10","D530E11","D530E12","D605F1","D605F2","D605F3","D610F6","D615F7","D615F8","D625F10","D625F11","D625F12","D630G1","D630G2","D630G3","D705G4","D705G5","D705G6","D710G7","D710G8","D710G9","D715G10","D715G11","D715G12","D725H1","D725H2","D725H3","D730H4","D730H5","D730H6","D805H7","D805H8","D805H9","D810H10","D810H11","D810H12","D815A1","D815A2","D815A3","D825A4","D825A6","D830A7","D830A8","D830A9"
"D205A1",0,0.144422743055556,0.139638659120592,0.616237751695919,0.567478639282492,0.596336172264181,0.524401349975893,0.570436612309311,0.549592099613568,0.560576923076923,0.546041308089501,0.68885457453262,0.69382115618437,0.697473440854296,0.526610644257703,0.49534809111325,0.466436806378623,0.53975748470866,0.523814649373015,0.508839601414336,0.514125512184602,0.602201597237211,0.566625290085811,0.596742881794651,0.708626907073509,0.712505465675558,0.724111619795073,0.57885032537961,0.554086994203998,0.556181906878422,0.610919720221317,0.593597249825428,0.520229648486161,0.509020967654548,0.520584257506086,0.616638863477372,0.620641562064156,0.723580786026201,0.734156508891351,0.569036099739486,0.559742351046699,0.577063628546862,0.649392538436727,0.671539491298527,0.660602798708289,0.551650235747964,0.560507516792835,0.529430616387138,0.621487781246636,0.622975437091065,0.613404565322972,0.713053574390446,0.714095891927804,0.697732438875645,0.594716981132075,0.617849462365591,0.628482306120254,0.59917913268888,0.553220011796879,0.567012469873206,0.663069285560112,0.659724824669415,0.646109137875363,0.684831770546056,0.689708651822311,0.686108048511577,0.598298880275625,0.605020740182083,0.594644405897658,0.61406711409396,0.598137842465753,0.61960932849954,0.593983346763363,0.595627232384457,0.614044378541545,0.601628664495114,0.612690162958151,0.61290671864003,0.751161761451649,0.734542901884551,0.716541519434629,0.617412695866089,0.624032674118659,0.584472919134274,0.568528192148204,0.582620852825725,0.618868127726024,0.587462847878952,0.546609024587949,0.542801345340132,0.5771576617909,0.598679657136773,0.741129163723306,0.726470588235294,0.742004150923314
"D205A2",0.144422743055556,0,0.131516331386546,0.627715355805243,0.579091724247059,0.607452754857599,0.53713464302827,0.579838962668619,0.555365905696608,0.553939265236781,0.539020739790464,0.719875061647214,0.721471718835805,0.724552863315648,0.507815845824411,0.479753427569349,0.448549095192205,0.527567452276848,0.513611809381184,0.501863486316686,0.505893699099871,0.590948090948091,0.563421828908555,0.586816720257235,0.730114106168348,0.735824462307191,0.743175909878683,0.564345764173313,0.534693438122409,0.537624562348505,0.601535747639307,0.583942774782469,0.506324344690242,0.497873256878264,0.510456427073813,0.599550778116477,0.602409638554217,0.744521588197006,0.757172077411234,0.556988110964333,0.545823108929905,0.563341166417432,0.637674965274068,0.653131818423713,0.644094993581515,0.540042598509052,0.54837342375755,0.51661535194819,0.600299561356585,0.60494616778595,0.593822062530166,0.736417074108663,0.734844317306634,0.724343083787804,0.587913854066217,0.609425090831374,0.620523784072688,0.588042719905544,0.538395949906741,0.560879075096344,0.652616902616903,0.645437616387337,0.632046208150604,0.718075194563192,0.719537699504678,0.717243645924628,0.590947999144019,0.593447186680229,0.581878905408317,0.608238621204845,0.589023611997447,0.612087971178147,0.584005125193529,0.583414004517586,0.604821306384547,0.59548985757445,0.608005595308549,0.606499166083822,0.773087071240106,0.755299168231822,0.740838270792188,0.607440871644964,0.615894039735099,0.575387907972178,0.558041209526358,0.576230428044675,0.616096751752555,0.585843939638043,0.539981741045057,0.536711590296496,0.567558869280695,0.590348695698185,0.761218208326583,0.747997402035072,0.763685407521024
"D205A3",0.139638659120592,0.131516331386546,0,0.623161962004937,0.574564883880865,0.599337925142827,0.52581833716025,0.568956476140535,0.543441044297025,0.544408945686901,0.525734505683037,0.70955862144781,0.712239726781976,0.715696494211883,0.513960481099656,0.484489926447074,0.451831167436366,0.5235854102043,0.50539134166622,0.502509879312186,0.507738607050731,0.580464716006885,0.550379256549572,0.576435175231133,0.718993641139065,0.726084114186097,0.736418948283355,0.561081081081081,0.534582365962961,0.540223674968934,0.604433343740243,0.584408630936446,0.516385034821573,0.503051250202517,0.516311674305743,0.601458992651397,0.600898299647097,0.736235038084875,0.748566619325654,0.560973024537601,0.549063670411985,0.564388257981573,0.641946200835923,0.659460902054977,0.649463519313305,0.54635761589404,0.549792751620789,0.522734533063572,0.606717458954823,0.606650272639795,0.600021515787209,0.728770595690748,0.728617150424898,0.712880587942753,0.595163890381515,0.612433011789925,0.622922697544762,0.593260483393444,0.549307819765888,0.561161600334273,0.652216006884682,0.646726079299856,0.630833601544899,0.705662451896647,0.710720989290052,0.708461538461538,0.587679759605065,0.592439456585942,0.581694402420575,0.606636339309607,0.588436099850651,0.609190442802438,0.585113788487282,0.584744848419463,0.60481444332999,0.596428571428571,0.608871620527764,0.607036857158275,0.760035288928099,0.746810915549814,0.731454985692274,0.611812996428381,0.614956074566102,0.577117097778255,0.559933437114177,0.578174411748941,0.61365466158553,0.58750336654996,0.54721249663345,0.539634476046285,0.571636089740141,0.59698561800138,0.754211124952608,0.739847991313789,0.755450639223383
"D210A4",0.616237751695919,0.627715355805243,0.623161962004937,0,0.172818177058793,0.107201352565119,0.25886393659181,0.226281918206352,0.210269984118581,0.697649910422595,0.68053050397878,0.84057419389919,0.840453356582389,0.844016282225238,0.690574859207311,0.677004219409283,0.666737513283741,0.522967823878069,0.503901480970327,0.541851616994293,0.62565138785494,0.704949441192123,0.698940756906371,0.705350494628231,0.850462177979544,0.852646329632424,0.860045146726862,0.693977965557814,0.685987499332229,0.684396215320468,0.398640296662546,0.404503311258278,0.583889749479194,0.583328880577077,0.561009443525583,0.696512923942466,0.709312169312169,0.856281623425557,0.860794419282628,0.694341008024335,0.687208809826345,0.69278066362769,0.390455991516437,0.34822796175989,0.382630852532116,0.567487580594017,0.610538493899874,0.642992623814542,0.707262688468889,0.712124418112569,0.704933737825323,0.852602889070591,0.851637554585153,0.845750204974037,0.697894512973203,0.709088980803903,0.712497347761511,0.486977363515313,0.631670809753001,0.615591397849462,0.73092070250133,0.733431905792892,0.716666666666667,0.841744616053948,0.83868501529052,0.84150451135993,0.690241053414038,0.700972318155252,0.697530204212552,0.689350209182863,0.690805447060065,0.690378355301777,0.69035129550151,0.685952177625961,0.697612454939658,0.685512367491166,0.689038389663089,0.691067328741524,0.869313843132977,0.86217180593279,0.852694610778443,0.690984860473704,0.69458284745044,0.679694137638063,0.671748021458544,0.666401485017237,0.677093844601413,0.663486649256515,0.656451526941321,0.650438690348812,0.683577322331648,0.693293419463264,0.868067091795724,0.85712751101085,0.865189773741404
"D210A5",0.567478639282492,0.579091724247059,0.574564883880865,0.172818177058793,0,0.152635965826214,0.21183703240596,0.226595690228797,0.182942742314317,0.630487868239206,0.614728803807731,0.818649517684887,0.817625261801192,0.82037017224778,0.670839662668273,0.647407561495658,0.64031641259364,0.47967649360814,0.444316516642244,0.482728077945084,0.563722149410223,0.653916784721129,0.639168765743073,0.652037124429762,0.821259163432514,0.822876268395049,0.829298013245033,0.679865028734117,0.657467874447019,0.659148397976391,0.375361950723901,0.385603844546594,0.543443917851501,0.551306363253266,0.537134441405428,0.677027734170591,0.691898377588815,0.827240409614262,0.833761166444193,0.665494414563508,0.657879626246281,0.671910112359551,0.379580741282869,0.338714717216957,0.374784110535406,0.531968110051587,0.576769509981851,0.594368538625383,0.681863386548024,0.687268554738434,0.677300871025291,0.820027935962179,0.821399752541826,0.815987933634992,0.682444828851497,0.692894860668165,0.699911092516082,0.465133375341315,0.595327492699207,0.565594248712589,0.718138412298652,0.718108924294491,0.7001412946779,0.810044487323793,0.805069694849578,0.809717683612793,0.658587656389049,0.654374017810372,0.646376811594203,0.659983291562239,0.648503773093937,0.666561447811448,0.63535680702121,0.638621415416996,0.663678516228748,0.666860188948118,0.67228129276766,0.673649857879777,0.849271622856528,0.832930799117925,0.824883309190407,0.655362529907417,0.662189704729553,0.633108214229621,0.608085462924173,0.618489855678728,0.648130694313541,0.638398486759142,0.621584699453552,0.603185485997574,0.629579091004513,0.639357845675816,0.838668779714739,0.829830041827712,0.838182006418884
"D210A6",0.596336172264181,0.607452754857599,0.599337925142827,0.107201352565119,0.152635965826214,0,0.229547844374343,0.202809482001756,0.184619436397156,0.662454779006973,0.645605700712589,0.839770637238992,0.839215048517374,0.842008639308855,0.67775017180314,0.660456573077932,0.651282051282051,0.496708967405613,0.471321432343932,0.510174036489826,0.593566477964129,0.672967963992587,0.665183772905413,0.672011430385775,0.847970399390576,0.850608611721808,0.855087963210523,0.681370723141595,0.664824067184012,0.666205722795447,0.385269847778176,0.395888244596732,0.557079081632653,0.568208399787347,0.546342499203737,0.683354457118716,0.695814688075809,0.852407218979275,0.857231661831745,0.676547333263751,0.670863404098404,0.681029481567428,0.384014771828014,0.343388690351062,0.3791792109016,0.55040227165168,0.59007901208728,0.612686762778506,0.694258095187787,0.699457866203484,0.687248464308409,0.848481561822126,0.847732826500136,0.842414355628059,0.690736920065598,0.697040046430644,0.702749775690083,0.477265500794913,0.614777391853489,0.595040897165492,0.722742917659518,0.725725094577554,0.705307631370478,0.837905101985608,0.834519476286195,0.83745200886822,0.661154841777167,0.663248043983929,0.66001808414446,0.669195911054906,0.664513418412898,0.676436232345758,0.659953606073387,0.650257554033243,0.677375753794968,0.670271134075534,0.678601784955376,0.678920526986825,0.864344240056433,0.856083086053412,0.848795017600867,0.670270837707327,0.673540425083065,0.646642362762192,0.642955290138463,0.64401055408971,0.672690763052209,0.648849294729027,0.639410329833492,0.631979560334274,0.658580508474576,0.669314381270903,0.859884836852207,0.851760807994442,0.857709987463435
"D215A7",0.524401349975893,0.53713464302827,0.52581833716025,0.25886393659181,0.21183703240596,0.229547844374343,0,0.195082898610609,0.138597692672391,0.573278800272665,0.559098347674603,0.797662843540359,0.800162645703443,0.803002484069554,0.589003436426117,0.565737679105653,0.564849574366838,0.418400126388962,0.403126980773294,0.398222642898459,0.478173448330599,0.569983583117089,0.572351694915254,0.572056099497221,0.810513713539399,0.81455462004612,0.821701695277822,0.59491245809164,0.593876249202637,0.588191489361702,0.322056486749705,0.324546604808098,0.46752418411821,0.475223309230115,0.467615204926736,0.600084504066758,0.613752435107671,0.81704247228322,0.825199461195731,0.596555323590814,0.590327169274538,0.593122000105491,0.309133118767477,0.268474718805845,0.306745549627595,0.462003681304234,0.5010727929248,0.520054527342316,0.619736911617095,0.619834710743802,0.612329202414998,0.812561015294501,0.815782327703253,0.804981509680226,0.595047881064494,0.60614215608675,0.61287938770124,0.414034343862625,0.529473684210526,0.535833719195349,0.633426891913361,0.630267997898056,0.615908730787514,0.798171094637736,0.798315675088291,0.797414958628522,0.57647804723411,0.583271650629164,0.571360178732911,0.58927065767285,0.606912127737801,0.595581988105353,0.581672466519034,0.572680439747199,0.598939378184465,0.585211230088967,0.583997449792796,0.589629157369036,0.834590546480708,0.82543720190779,0.815739587282673,0.588031496062992,0.585737644390527,0.566605019815059,0.573467230443975,0.594785729364577,0.606806891449107,0.580929147221044,0.572761985574883,0.573170082512643,0.578239220256383,0.58848123758754,0.831929188439799,0.82010582010582,0.826872845052764
"D215A8",0.570436612309311,0.579838962668619,0.568956476140535,0.226281918206352,0.226595690228797,0.202809482001756,0.195082898610609,0,0.153885956742213,0.63922942206655,0.625531473607798,0.801455356668614,0.804130295933575,0.810614495519856,0.609616782635788,0.593627552072592,0.582779393435812,0.48768880612456,0.473411154345006,0.478822314049587,0.564910092505976,0.640902943930095,0.638141809290954,0.643414076307308,0.819541642181741,0.821379673512375,0.828064278962294,0.625901536531828,0.62244844688071,0.616047641435512,0.361374168849486,0.375485474599969,0.521428198569713,0.515012270899692,0.497992596068617,0.643927997094984,0.65422010757137,0.826022930472284,0.828353270552303,0.635543249756448,0.633926723245705,0.63464925914413,0.362043946932007,0.323558263204089,0.360278094842793,0.514722595309433,0.554390294057166,0.57498969921714,0.649439601494396,0.647259565667011,0.644109232769831,0.821947713114318,0.82469609724888,0.814852383748865,0.641862398669715,0.650357624131854,0.659684778100373,0.456769559106762,0.574833273018663,0.566835187057634,0.670758348070321,0.667888298146906,0.657190288441585,0.803654908627284,0.807232771495626,0.805776786662419,0.630409963674105,0.640442436516591,0.634938877860203,0.628862777576479,0.631101021566402,0.642764015645372,0.626391838003004,0.620070936782808,0.630484752515707,0.624254473161034,0.632976780589616,0.633394208192017,0.840383590836441,0.836568989746526,0.824630437094544,0.636363636363636,0.636410734638898,0.612725762922981,0.62923739812075,0.626976310196465,0.646301583181936,0.610396374811188,0.599562477212355,0.605395232120452,0.639352791217939,0.651999794629563,0.836414096454941,0.828592421538785,0.830638953040801
"D215A9",0.549592099613568,0.555365905696608,0.543441044297025,0.210269984118581,0.182942742314317,0.184619436397156,0.138597692672391,0.153885956742213,0,0.60149191006514,0.587264649883647,0.808986936961353,0.809885931558935,0.813883027647027,0.587923728813559,0.572720580502682,0.560016950948194,0.43684710351377,0.418955389744404,0.420819723949004,0.506043256997455,0.597198641765705,0.594056778986469,0.594273594909862,0.820293331879396,0.823554695895121,0.829725675096442,0.59149072296865,0.589071736699153,0.579429789501732,0.327205504775598,0.33438968995933,0.472176367218702,0.481915516965855,0.468113398223499,0.612783745171702,0.625276927945986,0.826142949130715,0.833912908081175,0.610352941176471,0.606460466589254,0.60568590150074,0.327730204038482,0.283239429203307,0.321549534292972,0.482613277133825,0.520184544405998,0.548481983401618,0.628030062453689,0.626621664381394,0.620841513238181,0.822746291365538,0.824246381543149,0.8174685337547,0.608396056397753,0.619475576231762,0.627498677948176,0.416025062390485,0.547904033746375,0.545201525615916,0.646859083191851,0.642011055540932,0.626521325007937,0.810256966279952,0.809254218835057,0.811226701343736,0.595701884395511,0.597330367074527,0.590492432317203,0.604455942136107,0.612607872026942,0.616960153215939,0.594210554117585,0.582632755134617,0.611021407364967,0.59863364645602,0.605365412253154,0.609623675946133,0.839277946933449,0.835837536501195,0.824506186238333,0.610623192216671,0.607059818220249,0.580307040762308,0.599470479216309,0.611272669592344,0.627468629215863,0.594601774613464,0.591838903352638,0.58944,0.607068938067187,0.621969736635426,0.839628185266307,0.828335832083958,0.833568849112891
"D225A10",0.560576923076923,0.553939265236781,0.544408945686901,0.697649910422595,0.630487868239206,0.662454779006973,0.573278800272665,0.63922942206655,0.60149191006514,0,0.112655295851758,0.912391433349517,0.9129635636285,0.915459587528943,0.504323070434416,0.482256882654663,0.473057049456923,0.495116059237475,0.470845404266526,0.474462506554798,0.473195441114394,0.368821292775665,0.319917604183172,0.396559003588769,0.914482608931575,0.915935828877005,0.91787542662116,0.559223094884313,0.533527696793003,0.525486659948019,0.595644617114814,0.566479154618579,0.491705093549584,0.535549546683633,0.546085023029276,0.464475693895823,0.484196156673317,0.917218543046358,0.920123998966675,0.50242023629834,0.497215509088999,0.520934146854618,0.60012627591287,0.615912783688873,0.588600927096502,0.523075309418922,0.532616637094249,0.503398515110321,0.523759350964071,0.513910761154856,0.504832321098495,0.918987615596777,0.917361637604246,0.91540588905157,0.557349372164187,0.55093664491686,0.55626908095589,0.599386924581153,0.520705400724295,0.542534633145203,0.542458808618504,0.527327988261804,0.518487306436321,0.913995899428078,0.914075197746235,0.913826574633305,0.561011591148577,0.551747772446881,0.552408232548271,0.580850281149824,0.591766184789441,0.578925072809108,0.571375992428624,0.562652261412986,0.59516772955877,0.56502337441564,0.569907284768212,0.557721854304636,0.921645021645022,0.92052000211383,0.917584791531648,0.534418677694603,0.564590784767515,0.536094425123828,0.538396668950614,0.591074153991895,0.611277997364954,0.587603786556666,0.578084510021683,0.569805711859008,0.557022872537108,0.56136967738573,0.922156643802839,0.919420166275847,0.92331336285491
