Bin_ID,Sample,Day,Treatment
1_bin.1,205R1,9,AB
1_bin.10,205R1,9,AB
1_bin.13,205R1,9,AB
1_bin.16,205R1,9,AB
1_bin.19,205R1,9,AB
1_bin.21,205R1,9,AB
1_bin.23,205R1,9,AB
1_bin.25,205R1,9,AB
1_bin.26,205R1,9,AB
1_bin.28,205R1,9,AB
1_bin.3,205R1,9,AB
1_bin.32,205R1,9,AB
1_bin.35,205R1,9,AB
1_bin.4,205R1,9,AB
1_bin.41,205R1,9,AB
1_bin.42,205R1,9,AB
1_bin.44,205R1,9,AB
1_bin.47,205R1,9,AB
1_bin.51,205R1,9,AB
10_bin.10,225R1,9,PC
10_bin.12,225R1,9,PC
10_bin.13,225R1,9,PC
10_bin.15,225R1,9,PC
10_bin.2,225R1,9,PC
10_bin.22,225R1,9,PC
10_bin.24,225R1,9,PC
10_bin.25,225R1,9,PC
10_bin.26,225R1,9,PC
10_bin.27,225R1,9,PC
10_bin.33,225R1,9,PC
10_bin.35,225R1,9,PC
10_bin.36,225R1,9,PC
10_bin.37,225R1,9,PC
10_bin.38,225R1,9,PC
10_bin.39,225R1,9,PC
10_bin.4,225R1,9,PC
10_bin.42,225R1,9,PC
10_bin.46,225R1,9,PC
10_bin.48,225R1,9,PC
10_bin.5,225R1,9,PC
10_bin.50,225R1,9,PC
10_bin.53,225R1,9,PC
10_bin.54,225R1,9,PC
10_bin.55,225R1,9,PC
10_bin.57,225R1,9,PC
10_bin.58,225R1,9,PC
10_bin.6,225R1,9,PC
10_bin.8,225R1,9,PC
11_bin.10,225R2,9,PC
11_bin.12,225R2,9,PC
11_bin.13,225R2,9,PC
11_bin.15,225R2,9,PC
11_bin.16,225R2,9,PC
11_bin.19,225R2,9,PC
11_bin.20,225R2,9,PC
11_bin.22,225R2,9,PC
11_bin.25,225R2,9,PC
11_bin.31,225R2,9,PC
11_bin.34,225R2,9,PC
11_bin.35,225R2,9,PC
11_bin.38,225R2,9,PC
11_bin.42,225R2,9,PC
11_bin.44,225R2,9,PC
11_bin.46,225R2,9,PC
11_bin.47,225R2,9,PC
11_bin.49,225R2,9,PC
11_bin.50,225R2,9,PC
11_bin.51,225R2,9,PC
11_bin.53,225R2,9,PC
11_bin.54,225R2,9,PC
11_bin.8,225R2,9,PC
11_bin.9,225R2,9,PC
12_bin.1,225R3,9,PC
12_bin.13,225R3,9,PC
12_bin.14,225R3,9,PC
12_bin.16,225R3,9,PC
12_bin.19,225R3,9,PC
12_bin.20,225R3,9,PC
12_bin.21,225R3,9,PC
12_bin.22,225R3,9,PC
12_bin.24,225R3,9,PC
12_bin.25,225R3,9,PC
12_bin.26,225R3,9,PC
12_bin.27,225R3,9,PC
12_bin.29,225R3,9,PC
12_bin.3,225R3,9,PC
12_bin.32,225R3,9,PC
12_bin.33,225R3,9,PC
12_bin.37,225R3,9,PC
12_bin.42,225R3,9,PC
12_bin.44,225R3,9,PC
12_bin.45,225R3,9,PC
12_bin.47,225R3,9,PC
12_bin.48,225R3,9,PC
12_bin.5,225R3,9,PC
12_bin.7,225R3,9,PC
12_bin.9,225R3,9,PC
13_bin.10,230R1,9,NC
13_bin.14,230R1,9,NC
13_bin.6,230R1,9,NC
14_bin.11,230R2,9,NC
14_bin.3,230R2,9,NC
15_bin.8,230R3,9,NC
16_bin.10,P205,9,AB
