Bin_ID,Samples,Sample,Day,Treatment,Bin_Size(Mbp),16S,Completeness,Contamination,Strain_Heterogeneity,Percent_community,dRep_cluster,Domain,Phylum,Class,Order,Family,Genus,Species
1_bin.26,205R1,1,9,AB,3.566824,NODE_28_length_146216_cov_6.941152,94.66,0.97,0,1.063835524,90_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
1_bin.19,205R1,1,9,AB,2.064971,x,62.14,2.75,29.41,0.650599659,18_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
1_bin.28,205R1,1,9,AB,2.593826,x,95.27,0.4,100,1.651364775,17_1,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium_A,
1_bin.25,205R1,1,9,AB,2.90421,x,53.45,0,0,2.546886638,7_1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,
1_bin.44,205R1,1,9,AB,2.570389,x,63.21,5.17,100,4.644569296,103_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,
1_bin.47,205R1,1,9,AB,5.115554,x,100,0.64,0,3.949319895,98_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
1_bin.32,205R1,1,9,AB,5.23095,x,89.84,0.95,0,2.078804265,102_1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium nematocida
1_bin.23,205R1,1,9,AB,3.638296,x,92.66,5.05,0,0.775546411,5_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,,
1_bin.10,205R1,1,9,AB,4.425196,x,89.9,0.78,20,6.28141981,37_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
1_bin.13,205R1,1,9,AB,2.225875,x,61.71,0.82,50,0.702831065,32_15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,
1_bin.51,205R1,1,9,AB,3.90603,x,93.91,0.41,0,3.6758819,31_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,
1_bin.1,205R1,1,9,AB,2.249723,x,69.44,6.01,97.06,2.634704709,26_2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
1_bin.21,205R1,1,9,AB,1.470834,x,65.91,1.74,25,1.184397966,27_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_A,
1_bin.41,205R1,1,9,AB,2.605962,x,79.24,3.56,40,1.125251642,28_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_F,
1_bin.3,205R1,1,9,AB,2.936534,x,97.83,0.45,0,2.516968104,29_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphningosinicella,
1_bin.4,205R1,1,9,AB,3.422369,x,98.21,1.42,33.33,2.17859439,67_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
1_bin.42,205R1,1,9,AB,1.860499,x,56.95,2.84,14.29,0.543580967,71_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidimonas,
